"incident_guid","b_esn","b_name","day","month","start","stop","cam_count","inc_cams","drop_type","duration_sum","avg"
"100a54e92019-10-11 03:00:36","100a54e9","DFW1 - 29290","10004653","11","10","2019-10-11 03:00:36","2019-10-11 03:01:59","46","42","bridge","2384","56"
"100a54e92019-10-11 03:00:36","100a54e9","DFW1 - 29290","100072ed","11","10","2019-10-11 03:00:36","2019-10-11 03:01:59","46","42","bridge","2384","56"
"100a54e92019-10-11 03:00:36","100a54e9","DFW1 - 29290","1000b550","11","10","2019-10-11 03:00:36","2019-10-11 03:01:59","46","42","bridge","2384","56"
"100a54e92019-10-11 03:00:36","100a54e9","DFW1 - 29290","1000d2a6","11","10","2019-10-11 03:00:36","2019-10-11 03:01:59","46","42","bridge","2384","56"
"100a54e92019-10-11 03:00:36","100a54e9","DFW1 - 29290","100172f3","11","10","2019-10-11 03:00:36","2019-10-11 03:01:59","46","42","bridge","2384","56"
"100a54e92019-10-11 03:00:36","100a54e9","DFW1 - 29290","10019ee8","11","10","2019-10-11 03:00:36","2019-10-11 03:01:59","46","42","bridge","2384","56"
"100a54e92019-10-11 03:00:36","100a54e9","DFW1 - 29290","10020a28","11","10","2019-10-11 03:00:36","2019-10-11 03:01:59","46","42","bridge","2384","56"
"100a54e92019-10-11 03:00:36","100a54e9","DFW1 - 29290","1002a404","11","10","2019-10-11 03:00:36","2019-10-11 03:01:59","46","42","bridge","2384","56"
"100a54e92019-10-11 03:00:36","100a54e9","DFW1 - 29290","1003d591","11","10","2019-10-11 03:00:36","2019-10-11 03:01:59","46","42","bridge","2384","56"
"100a54e92019-10-11 03:00:36","100a54e9","DFW1 - 29290","1003e1aa","11","10","2019-10-11 03:00:36","2019-10-11 03:01:59","46","42","bridge","2384","56"
"100a54e92019-10-11 03:00:36","100a54e9","DFW1 - 29290","10042ee3","11","10","2019-10-11 03:00:36","2019-10-11 03:01:59","46","42","bridge","2384","56"
"100a54e92019-10-11 03:00:36","100a54e9","DFW1 - 29290","10046abc","11","10","2019-10-11 03:00:36","2019-10-11 03:01:59","46","42","bridge","2384","56"
"100a54e92019-10-11 03:00:36","100a54e9","DFW1 - 29290","1004c213","11","10","2019-10-11 03:00:36","2019-10-11 03:01:59","46","42","bridge","2384","56"
"100a54e92019-10-11 03:00:36","100a54e9","DFW1 - 29290","1004f209","11","10","2019-10-11 03:00:36","2019-10-11 03:01:59","46","42","bridge","2384","56"
"100a54e92019-10-11 03:00:36","100a54e9","DFW1 - 29290","1004f4cf","11","10","2019-10-11 03:00:36","2019-10-11 03:01:59","46","42","bridge","2384","56"
"100a54e92019-10-11 03:00:36","100a54e9","DFW1 - 29290","10061b7d","11","10","2019-10-11 03:00:36","2019-10-11 03:01:59","46","42","bridge","2384","56"
"100a54e92019-10-11 03:00:36","100a54e9","DFW1 - 29290","1006aa63","11","10","2019-10-11 03:00:36","2019-10-11 03:01:59","46","42","bridge","2384","56"
"100a54e92019-10-11 03:00:36","100a54e9","DFW1 - 29290","1006d2f7","11","10","2019-10-11 03:00:36","2019-10-11 03:01:59","46","42","bridge","2384","56"
"100a54e92019-10-11 03:00:36","100a54e9","DFW1 - 29290","1006f0e7","11","10","2019-10-11 03:00:36","2019-10-11 03:01:59","46","42","bridge","2384","56"
"100a54e92019-10-11 03:00:36","100a54e9","DFW1 - 29290","10070a3b","11","10","2019-10-11 03:00:36","2019-10-11 03:01:59","46","42","bridge","2384","56"
"100a54e92019-10-11 03:00:36","100a54e9","DFW1 - 29290","10072378","11","10","2019-10-11 03:00:36","2019-10-11 03:01:59","46","42","bridge","2384","56"
"100a54e92019-10-11 03:00:36","100a54e9","DFW1 - 29290","10076085","11","10","2019-10-11 03:00:36","2019-10-11 03:01:59","46","42","bridge","2384","56"
"100a54e92019-10-11 03:00:36","100a54e9","DFW1 - 29290","10078b76","11","10","2019-10-11 03:00:36","2019-10-11 03:01:59","46","42","bridge","2384","56"
"100a54e92019-10-11 03:00:36","100a54e9","DFW1 - 29290","1008902e","11","10","2019-10-11 03:00:36","2019-10-11 03:01:59","46","42","bridge","2384","56"
"100a54e92019-10-11 03:00:36","100a54e9","DFW1 - 29290","10089161","11","10","2019-10-11 03:00:36","2019-10-11 03:01:59","46","42","bridge","2384","56"
"100a54e92019-10-11 03:00:36","100a54e9","DFW1 - 29290","100891b3","11","10","2019-10-11 03:00:36","2019-10-11 03:01:59","46","42","bridge","2384","56"
"100a54e92019-10-11 03:00:36","100a54e9","DFW1 - 29290","1008a9ca","11","10","2019-10-11 03:00:36","2019-10-11 03:01:59","46","42","bridge","2384","56"
"100a54e92019-10-11 03:00:36","100a54e9","DFW1 - 29290","1008e8fb","11","10","2019-10-11 03:00:36","2019-10-11 03:01:59","46","42","bridge","2384","56"
"100a54e92019-10-11 03:00:36","100a54e9","DFW1 - 29290","1009833f","11","10","2019-10-11 03:00:36","2019-10-11 03:01:59","46","42","bridge","2384","56"
"100a54e92019-10-11 03:00:36","100a54e9","DFW1 - 29290","1009cfff","11","10","2019-10-11 03:00:36","2019-10-11 03:01:59","46","42","bridge","2384","56"
"100a54e92019-10-11 03:00:36","100a54e9","DFW1 - 29290","1009ddde","11","10","2019-10-11 03:00:36","2019-10-11 03:01:59","46","42","bridge","2384","56"
"100a54e92019-10-11 03:00:36","100a54e9","DFW1 - 29290","100a321f","11","10","2019-10-11 03:00:36","2019-10-11 03:01:59","46","42","bridge","2384","56"
"100a54e92019-10-11 03:00:36","100a54e9","DFW1 - 29290","100aaf1b","11","10","2019-10-11 03:00:36","2019-10-11 03:01:59","46","42","bridge","2384","56"
"100a54e92019-10-11 03:00:36","100a54e9","DFW1 - 29290","100bccc8","11","10","2019-10-11 03:00:36","2019-10-11 03:01:59","46","42","bridge","2384","56"
"100a54e92019-10-11 03:00:36","100a54e9","DFW1 - 29290","100cb990","11","10","2019-10-11 03:00:36","2019-10-11 03:01:59","46","42","bridge","2384","56"
"100a54e92019-10-11 03:00:36","100a54e9","DFW1 - 29290","100cecc0","11","10","2019-10-11 03:00:36","2019-10-11 03:01:59","46","42","bridge","2384","56"
"100a54e92019-10-11 03:00:36","100a54e9","DFW1 - 29290","100d0012","11","10","2019-10-11 03:00:36","2019-10-11 03:01:59","46","42","bridge","2384","56"
"100a54e92019-10-11 03:00:36","100a54e9","DFW1 - 29290","100d88fa","11","10","2019-10-11 03:00:36","2019-10-11 03:01:59","46","42","bridge","2384","56"
"100a54e92019-10-11 03:00:36","100a54e9","DFW1 - 29290","100e9f55","11","10","2019-10-11 03:00:36","2019-10-11 03:01:59","46","42","bridge","2384","56"
"100a54e92019-10-11 03:00:36","100a54e9","DFW1 - 29290","100f4b63","11","10","2019-10-11 03:00:36","2019-10-11 03:01:59","46","42","bridge","2384","56"
