"incident_guid","b_esn","b_name","day","month","start","stop","cam_count","inc_cams","drop_type","duration_sum","avg"
"100a54e92019-10-11 03:00:36","100a54e9","DFW1 - 29290","11","10","2019-10-11 03:00:36","2019-10-11 03:01:59","46","42","bridge","2384","56"
"100a54e92019-10-23 02:15:32","100a54e9","DFW1 - 29290","23","10","2019-10-23 02:15:32","2019-10-23 02:16:28","46","43","bridge","2164","50"
"100a54e92019-10-13 04:04:26","100a54e9","DFW1 - 29290","13","10","2019-10-13 04:04:26","2019-10-13 04:05:03","46","43","bridge","1919","44"
"100a54e92019-10-14 08:38:18","100a54e9","DFW1 - 29290","14","10","2019-10-14 08:38:18","2019-10-14 08:38:53","46","43","bridge","1610","37"
"100a54e92019-10-21 13:33:58","100a54e9","DFW1 - 29290","21","10","2019-10-21 13:33:58","2019-10-21 14:00:00","46","1","camera","1562","1562"
"100a54e92019-10-14 16:38:10","100a54e9","DFW1 - 29290","14","10","2019-10-14 16:38:10","2019-10-14 17:00:01","46","1","camera","1311","1311"
"100a54e92019-10-16 19:44:39","100a54e9","DFW1 - 29290","16","10","2019-10-16 19:44:39","2019-10-16 19:44:54","46","86","bridge","1170","13"
"100a54e92019-10-16 19:49:53","100a54e9","DFW1 - 29290","16","10","2019-10-16 19:49:53","2019-10-16 19:50:07","46","86","bridge","1130","13"
"100a54e92019-10-06 03:17:55","100a54e9","DFW1 - 29290","6","10","2019-10-06 03:17:55","2019-10-06 03:18:23","46","42","bridge","1107","26"
"100a54e92019-10-01 19:33:07","100a54e9","DFW1 - 29290","1","10","2019-10-01 19:33:07","2019-10-01 19:50:03","46","1","camera","1016","1016"
"100a54e92019-10-03 21:25:49","100a54e9","DFW1 - 29290","3","10","2019-10-03 21:25:49","2019-10-03 21:26:11","46","42","bridge","916","21"
"100a54e92019-10-24 21:23:25","100a54e9","DFW1 - 29290","24","10","2019-10-24 21:23:25","2019-10-24 21:23:46","46","43","bridge","875","20"
"100a54e92019-10-08 15:28:37","100a54e9","DFW1 - 29290","8","10","2019-10-08 15:28:37","2019-10-08 15:28:57","46","43","bridge","829","19"
"100a54e92019-10-29 20:46:43","100a54e9","DFW1 - 29290","29","10","2019-10-29 20:46:43","2019-10-29 21:00:00","46","1","camera","797","797"
"100a54e92019-10-03 16:44:36","100a54e9","DFW1 - 29290","3","10","2019-10-03 16:44:36","2019-10-03 16:44:56","46","42","bridge","778","18"
"100a54e92019-10-06 05:43:43","100a54e9","DFW1 - 29290","6","10","2019-10-06 05:43:43","2019-10-06 05:44:03","46","42","bridge","777","18"
"100a54e92019-10-02 21:15:36","100a54e9","DFW1 - 29290","2","10","2019-10-02 21:15:36","2019-10-02 21:15:55","46","42","bridge","740","17"
"100a54e92019-10-26 18:05:59","100a54e9","DFW1 - 29290","26","10","2019-10-26 18:05:59","2019-10-26 18:06:17","46","43","bridge","718","16"
"100a54e92019-10-05 08:09:32","100a54e9","DFW1 - 29290","5","10","2019-10-05 08:09:32","2019-10-05 08:09:50","46","42","bridge","701","16"
"100a54e92019-10-07 10:34:01","100a54e9","DFW1 - 29290","7","10","2019-10-07 10:34:01","2019-10-07 10:34:19","46","42","bridge","700","16"
"100a54e92019-10-25 06:35:33","100a54e9","DFW1 - 29290","25","10","2019-10-25 06:35:33","2019-10-25 06:35:50","46","43","bridge","694","16"
"100a54e92019-10-21 11:25:50","100a54e9","DFW1 - 29290","21","10","2019-10-21 11:25:50","2019-10-21 11:26:07","46","43","bridge","674","15"
"100a54e92019-10-05 00:47:52","100a54e9","DFW1 - 29290","5","10","2019-10-05 00:47:52","2019-10-05 00:48:08","46","42","bridge","670","15"
"100a54e92019-10-04 22:26:58","100a54e9","DFW1 - 29290","4","10","2019-10-04 22:26:58","2019-10-04 22:27:16","46","42","bridge","662","15"
"100a54e92019-10-15 18:49:02","100a54e9","DFW1 - 29290","15","10","2019-10-15 18:49:02","2019-10-15 19:00:00","46","1","camera","658","658"
"100a54e92019-10-25 13:06:24","100a54e9","DFW1 - 29290","25","10","2019-10-25 13:06:24","2019-10-25 13:06:40","46","43","bridge","658","15"
"100a54e92019-10-25 16:41:59","100a54e9","DFW1 - 29290","25","10","2019-10-25 16:41:59","2019-10-25 16:42:15","46","43","bridge","655","15"
"100a54e92019-10-24 10:51:16","100a54e9","DFW1 - 29290","24","10","2019-10-24 10:51:16","2019-10-24 10:51:32","46","43","bridge","654","15"
"100a54e92019-10-07 09:43:46","100a54e9","DFW1 - 29290","7","10","2019-10-07 09:43:46","2019-10-07 09:44:02","46","42","bridge","642","15"
"100a54e92019-10-23 20:58:47","100a54e9","DFW1 - 29290","23","10","2019-10-23 20:58:47","2019-10-23 20:59:03","46","43","bridge","642","14"
"100a54e92019-10-05 00:22:37","100a54e9","DFW1 - 29290","5","10","2019-10-05 00:22:37","2019-10-05 00:22:53","46","42","bridge","636","15"
"100a54e92019-10-01 21:41:11","100a54e9","DFW1 - 29290","1","10","2019-10-01 21:41:11","2019-10-01 21:41:28","46","42","bridge","632","15"
"100a54e92019-10-27 20:05:02","100a54e9","DFW1 - 29290","27","10","2019-10-27 20:05:02","2019-10-27 20:05:18","46","42","bridge","631","15"
"100a54e92019-10-19 20:59:04","100a54e9","DFW1 - 29290","19","10","2019-10-19 20:59:04","2019-10-19 20:59:20","46","42","bridge","623","14"
"100a54e92019-10-09 17:18:25","100a54e9","DFW1 - 29290","9","10","2019-10-09 17:18:25","2019-10-09 17:18:40","46","42","bridge","618","14"
"100a54e92019-10-21 08:39:59","100a54e9","DFW1 - 29290","21","10","2019-10-21 08:39:59","2019-10-21 08:40:14","46","43","bridge","607","14"
"100a54e92019-10-05 02:08:18","100a54e9","DFW1 - 29290","5","10","2019-10-05 02:08:18","2019-10-05 02:08:33","46","42","bridge","603","14"
"100a54e92019-10-18 15:34:58","100a54e9","DFW1 - 29290","18","10","2019-10-18 15:34:58","2019-10-18 15:35:13","46","42","bridge","600","14"
"100a54e92019-10-05 09:09:56","100a54e9","DFW1 - 29290","5","10","2019-10-05 09:09:56","2019-10-05 09:10:11","46","42","bridge","593","14"
"100a54e92019-10-11 20:22:51","100a54e9","DFW1 - 29290","11","10","2019-10-11 20:22:51","2019-10-11 20:23:06","46","42","bridge","587","13"
"100a54e92019-10-07 21:16:08","100a54e9","DFW1 - 29290","7","10","2019-10-07 21:16:08","2019-10-07 21:16:23","46","42","bridge","586","13"
"100a54e92019-10-25 19:32:36","100a54e9","DFW1 - 29290","25","10","2019-10-25 19:32:36","2019-10-25 19:32:50","46","43","bridge","585","13"
"100a54e92019-10-04 06:53:13","100a54e9","DFW1 - 29290","4","10","2019-10-04 06:53:13","2019-10-04 06:53:28","46","42","bridge","580","13"
"100a54e92019-10-07 14:04:52","100a54e9","DFW1 - 29290","7","10","2019-10-07 14:04:52","2019-10-07 14:05:08","46","42","bridge","576","13"
"100a54e92019-10-06 06:09:03","100a54e9","DFW1 - 29290","6","10","2019-10-06 06:09:03","2019-10-06 06:09:18","46","42","bridge","571","13"
"100a54e92019-10-08 02:36:59","100a54e9","DFW1 - 29290","8","10","2019-10-08 02:36:59","2019-10-08 02:37:13","46","43","bridge","571","13"
"100a54e92019-10-06 04:03:23","100a54e9","DFW1 - 29290","6","10","2019-10-06 04:03:23","2019-10-06 04:03:37","46","42","bridge","569","13"
