"incident_guid","b_esn","b_name","day","month","start","stop","cam_count","inc_cams","drop_type","duration_sum","avg"
"100830442019-10-16 14:14:47","10083044","ORD5 - 30834","1000cada","16","10","2019-10-16 14:14:47","2019-10-16 14:15:05","58","116","bridge","8964","77"
"100830442019-10-16 14:14:47","10083044","ORD5 - 30834","1000e148","16","10","2019-10-16 14:14:47","2019-10-16 14:15:05","58","116","bridge","8964","77"
"100830442019-10-16 14:14:47","10083044","ORD5 - 30834","1001359d","16","10","2019-10-16 14:14:47","2019-10-16 14:15:05","58","116","bridge","8964","77"
"100830442019-10-16 14:14:47","10083044","ORD5 - 30834","100160d2","16","10","2019-10-16 14:14:47","2019-10-16 14:15:05","58","116","bridge","8964","77"
"100830442019-10-16 14:14:47","10083044","ORD5 - 30834","1001abfc","16","10","2019-10-16 14:14:47","2019-10-16 14:15:05","58","116","bridge","8964","77"
"100830442019-10-16 14:14:47","10083044","ORD5 - 30834","10020f19","16","10","2019-10-16 14:14:47","2019-10-16 14:15:05","58","116","bridge","8964","77"
"100830442019-10-16 14:14:47","10083044","ORD5 - 30834","100260fa","16","10","2019-10-16 14:14:47","2019-10-16 14:15:05","58","116","bridge","8964","77"
"100830442019-10-16 14:14:47","10083044","ORD5 - 30834","10029040","16","10","2019-10-16 14:14:47","2019-10-16 14:15:05","58","116","bridge","8964","77"
"100830442019-10-16 14:14:47","10083044","ORD5 - 30834","1002a24d","16","10","2019-10-16 14:14:47","2019-10-16 14:15:05","58","116","bridge","8964","77"
"100830442019-10-16 14:14:47","10083044","ORD5 - 30834","10031834","16","10","2019-10-16 14:14:47","2019-10-16 14:15:05","58","116","bridge","8964","77"
"100830442019-10-16 14:14:47","10083044","ORD5 - 30834","10033f50","16","10","2019-10-16 14:14:47","2019-10-16 14:15:05","58","116","bridge","8964","77"
"100830442019-10-16 14:14:47","10083044","ORD5 - 30834","10038944","16","10","2019-10-16 14:14:47","2019-10-16 14:15:05","58","116","bridge","8964","77"
"100830442019-10-16 14:14:47","10083044","ORD5 - 30834","1003b0da","16","10","2019-10-16 14:14:47","2019-10-16 14:15:05","58","116","bridge","8964","77"
"100830442019-10-16 14:14:47","10083044","ORD5 - 30834","1003b6f9","16","10","2019-10-16 14:14:47","2019-10-16 14:15:05","58","116","bridge","8964","77"
"100830442019-10-16 14:14:47","10083044","ORD5 - 30834","1003c54b","16","10","2019-10-16 14:14:47","2019-10-16 14:15:05","58","116","bridge","8964","77"
"100830442019-10-16 14:14:47","10083044","ORD5 - 30834","1004fe10","16","10","2019-10-16 14:14:47","2019-10-16 14:15:05","58","116","bridge","8964","77"
