"incident_guid","b_esn","incident_start","incident_stop","total_bridge_cams","incident_cams","drop_type","duration_sum","dur/avg"
"100903232019-10-20 20:21:22","10090323","2019-10-20 20:21:22","2019-10-20 20:24:52","42","39","bridge","64784","1661"
"10093b392019-10-18 08:43:15","10093b39","2019-10-18 08:43:15","2019-10-18 08:44:27","64","72","bridge","32719","454"
"101090782019-10-21 14:31:06","10109078","2019-10-21 14:31:06","2019-10-21 15:03:09","33","32","bridge","24700","771"
"10061de12019-10-18 15:18:53","10061de1","2019-10-18 15:18:53","2019-10-18 15:20:46","69","72","bridge","5814","80"
"1004bbe92019-10-21 08:04:55","1004bbe9","2019-10-21 08:04:55","2019-10-21 08:06:18","68","65","bridge","5769","88"
"10061de12019-10-19 06:51:04","10061de1","2019-10-19 06:51:04","2019-10-19 06:51:42","69","72","bridge","5690","79"
"1004bbe92019-10-19 10:45:54","1004bbe9","2019-10-19 10:45:54","2019-10-19 10:47:06","68","67","bridge","5513","82"
"1004bbe92019-10-20 07:57:56","1004bbe9","2019-10-20 07:57:56","2019-10-20 07:59:14","68","65","bridge","5511","84"
"100c39852019-10-21 06:00:55","100c3985","2019-10-21 06:00:55","2019-10-21 06:01:52","60","60","bridge","5073","84"
"10033c8f2019-10-20 20:21:14","10033c8f","2019-10-20 20:21:14","2019-10-20 20:23:09","34","34","bridge","4902","144"
"100903232019-10-19 21:38:48","10090323","2019-10-19 21:38:48","2019-10-19 21:40:15","42","40","bridge","4882","122"
"100c39852019-10-18 06:16:27","100c3985","2019-10-18 06:16:27","2019-10-18 06:18:12","60","59","bridge","4631","78"
"100c39852019-10-21 17:35:32","100c3985","2019-10-21 17:35:32","2019-10-21 17:36:52","60","60","bridge","4579","76"
"100c39852019-10-18 18:19:14","100c3985","2019-10-18 18:19:14","2019-10-18 18:20:47","60","59","bridge","4407","74"
"100903232019-10-19 16:43:47","10090323","2019-10-19 16:43:47","2019-10-19 16:45:16","42","41","bridge","4307","105"
"100830442019-10-18 17:09:59","10083044","2019-10-18 17:09:59","2019-10-18 17:10:11","58","58","bridge","4005","69"
"100d7b9b2019-10-18 19:34:47","100d7b9b","2019-10-18 19:34:47","2019-10-18 19:36:03","51","48","bridge","3864","80"
"100248df2019-10-19 04:20:39","100248df","2019-10-19 04:20:39","2019-10-19 04:21:06","70","76","bridge","3703","48"
"100903232019-10-18 14:03:45","10090323","2019-10-18 14:03:45","2019-10-18 14:05:07","42","42","bridge","3303","78"
"10033c8f2019-10-19 21:38:34","10033c8f","2019-10-19 21:38:34","2019-10-19 21:40:10","34","32","bridge","3135","97"
"101090782019-10-20 11:20:10","10109078","2019-10-20 11:20:10","2019-10-20 11:21:05","33","32","bridge","2743","85"
"101090782019-10-18 22:15:10","10109078","2019-10-18 22:15:10","2019-10-18 22:16:29","33","32","bridge","2682","83"
"101090782019-10-20 09:10:12","10109078","2019-10-20 09:10:12","2019-10-20 09:11:35","33","31","bridge","2571","82"
"100354fd2019-10-20 02:47:33","100354fd","2019-10-20 02:47:33","2019-10-20 02:47:47","70","70","bridge","2170","31"
"100354fd2019-10-19 08:00:32","100354fd","2019-10-19 08:00:32","2019-10-19 08:01:01","70","68","bridge","2117","31"
"10035cb52019-10-20 04:00:39","10035cb5","2019-10-20 04:00:39","2019-10-20 04:01:41","39","62","bridge","1858","29"
"10035cb52019-10-20 10:48:02","10035cb5","2019-10-20 10:48:02","2019-10-20 10:49:42","39","43","bridge","1449","33"
"100903232019-10-19 21:40:44","10090323","2019-10-19 21:40:44","2019-10-19 21:41:45","42","51","bridge","1384","27"
"10077d262019-10-20 00:53:22","10077d26","2019-10-20 00:53:22","2019-10-20 00:53:41","66","63","bridge","1129","17"
"10077d262019-10-21 07:57:27","10077d26","2019-10-21 07:57:27","2019-10-21 07:57:44","66","63","bridge","990","15"
"100903232019-10-20 20:25:49","10090323","2019-10-20 20:25:49","2019-10-20 20:26:27","42","71","bridge","982","13"
"10077d262019-10-20 00:03:08","10077d26","2019-10-20 00:03:08","2019-10-20 00:03:23","66","63","bridge","863","13"
"1009e6c62019-10-20 05:01:58","1009e6c6","2019-10-20 05:01:58","2019-10-20 05:02:12","65","60","bridge","730","12"
"100a54e92019-10-21 11:25:50","100a54e9","2019-10-21 11:25:50","2019-10-21 11:26:07","46","43","bridge","674","15"
"100903232019-10-19 21:43:02","10090323","2019-10-19 21:43:02","2019-10-19 21:43:20","42","39","bridge","642","16"
"100a54e92019-10-19 20:59:04","100a54e9","2019-10-19 20:59:04","2019-10-19 20:59:20","46","42","bridge","623","14"
"100a54e92019-10-21 08:39:59","100a54e9","2019-10-21 08:39:59","2019-10-21 08:40:14","46","43","bridge","607","14"
"100a54e92019-10-18 15:34:58","100a54e9","2019-10-18 15:34:58","2019-10-18 15:35:13","46","42","bridge","600","14"
"100a54e92019-10-18 22:26:13","100a54e9","2019-10-18 22:26:13","2019-10-18 22:26:27","46","42","bridge","556","13"
"100a54e92019-10-21 13:26:13","100a54e9","2019-10-21 13:26:13","2019-10-21 13:26:26","46","43","bridge","511","11"
"100123462019-10-18 13:28:36","10012346","2019-10-18 13:28:36","2019-10-18 13:28:49","44","41","bridge","494","12"
"100123462019-10-21 11:30:27","10012346","2019-10-21 11:30:27","2019-10-21 11:30:40","44","39","bridge","440","11"
