"incident_guid","b_esn","b_name","day","month","incident_start","incident_stop","total_bridge_cams","incident_cams","drop_type","duration_sum","dur/avg"
"10093b392019-10-28 00:02:03","10093b39","PHL - 31493","28","10","2019-10-28 00:02:03","2019-10-28 00:03:53","64","61","bridge","6012","98"
"1004bbe92019-10-28 14:10:54","1004bbe9","SFO2 - 30555","28","10","2019-10-28 14:10:54","2019-10-28 14:12:10","68","65","bridge","5849","89"
"1004bbe92019-10-27 16:55:54","1004bbe9","SFO2 - 30555","27","10","2019-10-27 16:55:54","2019-10-27 16:56:46","68","65","bridge","5839","89"
"100c39852019-10-27 06:02:06","100c3985","JFK1 - 30557","27","10","2019-10-27 06:02:06","2019-10-27 06:03:31","60","60","bridge","4594","76"
"100830442019-10-28 10:19:14","10083044","ORD5 - 30834","28","10","2019-10-28 10:19:14","2019-10-28 10:19:31","58","58","bridge","4162","71"
"1001f8a72019-10-27 22:15:21","1001f8a7","PDX - 32813","27","10","2019-10-27 22:15:21","2019-10-27 22:16:41","54","49","bridge","4093","83"
"1001f8a72019-10-28 20:25:22","1001f8a7","PDX - 32813","28","10","2019-10-28 20:25:22","2019-10-28 20:26:13","54","49","bridge","3888","79"
"100d7b9b2019-10-28 06:41:38","100d7b9b","SEA1 - 31232","28","10","2019-10-28 06:41:38","2019-10-28 06:42:58","51","49","bridge","3780","77"
"1009004c2019-10-27 16:52:27","1009004c","CVG - 32885","27","10","2019-10-27 16:52:27","2019-10-27 16:54:04","37","37","bridge","3721","100"
"100830442019-10-27 10:50:11","10083044","ORD5 - 30834","27","10","2019-10-27 10:50:11","2019-10-27 10:50:41","58","57","bridge","3097","54"
"10033c8f2019-10-27 23:30:35","10033c8f","IAH2 - 30556","27","10","2019-10-27 23:30:35","2019-10-27 23:31:59","34","34","bridge","2713","79"
"100354fd2019-10-27 10:16:40","100354fd","JFK2 - 30561","27","10","2019-10-27 10:16:40","2019-10-27 10:16:56","70","70","bridge","2072","29"
"1004c0ff2019-10-28 11:24:29","1004c0ff","ORD7 - 30832","28","10","2019-10-28 11:24:29","2019-10-28 11:25:07","29","40","bridge","1889","47"
"1009004c2019-10-28 04:32:51","1009004c","CVG - 32885","28","10","2019-10-28 04:32:51","2019-10-28 04:33:28","37","37","bridge","1321","35"
"101090782019-10-28 08:03:50","10109078","DTW - 30560","28","10","2019-10-28 08:03:50","2019-10-28 08:04:25","33","32","bridge","1078","33"
"1009e6c62019-10-27 00:06:03","1009e6c6","LAX1 - 30331","27","10","2019-10-27 00:06:03","2019-10-27 00:06:16","65","60","bridge","687","11"
"100a54e92019-10-27 20:05:02","100a54e9","DFW1 - 29290","27","10","2019-10-27 20:05:02","2019-10-27 20:05:18","46","42","bridge","631","15"
"100a54e92019-10-27 18:09:38","100a54e9","DFW1 - 29290","27","10","2019-10-27 18:09:38","2019-10-27 18:09:52","46","42","bridge","533","12"
"100a54e92019-10-28 04:12:00","100a54e9","DFW1 - 29290","28","10","2019-10-28 04:12:00","2019-10-28 04:12:12","46","42","bridge","478","11"
